,GAME_ID,TEAM_ABBREVIATION,TEAM_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON
28,11700017,MEM,32212255260,43.0,93.0,7.3740000000000006,6.0,24.0,2.499,18.0,26.0,6.583,12.0,45.0,57.0,26.0,9.0,9.0,17.0,22.0,110.0,105.0,2017
29,11700017,PHI,32212255100,31.0,89.0,5.291,11.0,30.0,3.394,16.0,19.0,6.0,3.0,37.0,40.0,19.0,6.0,9.0,14.0,22.0,89.0,-105.0,2017
30,11700018,ATL,32212254740,39.0,81.0,7.715,12.0,38.0,4.416,19.0,26.0,8.25,6.0,39.0,45.0,28.0,6.0,2.0,20.0,15.0,109.0,80.0,2017
31,11700018,CLE,32212254780,34.0,88.0,6.921,12.0,42.0,3.426,13.0,18.0,5.75,9.0,29.0,38.0,26.0,7.0,5.0,18.0,30.0,93.0,-80.0,2017
32,11700019,CHA,28991029788,39.0,87.0,4.8020000000000005,7.0,32.0,1.643,24.0,33.0,5.918,8.0,33.0,41.0,22.0,14.0,7.0,14.0,19.0,109.0,25.0,2017
33,11700019,DET,25769804240,39.0,83.0,5.381,8.0,28.0,2.099,18.0,26.0,5.55,7.0,41.0,48.0,21.0,7.0,4.0,19.0,27.0,104.0,-25.0,2017
34,11700020,IND,32212255080,40.0,94.0,5.154,11.0,31.0,2.7,13.0,18.0,4.4670000000000005,9.0,38.0,47.0,22.0,14.0,7.0,12.0,16.0,104.0,90.0,2017
35,11700020,MIL,32212254980,31.0,80.0,4.361,9.0,30.0,2.678,15.0,17.0,4.0,6.0,38.0,44.0,23.0,7.0,8.0,20.0,17.0,86.0,-90.0,2017
36,11700022,DEN,28991029374,48.0,90.0,6.0520000000000005,14.0,30.0,3.4050000000000002,12.0,17.0,4.0,11.0,35.0,46.0,34.0,8.0,3.0,20.0,23.0,122.0,90.0,2017
37,11700022,LAL,32212254940,40.0,78.0,8.582,5.0,19.0,1.333,19.0,33.0,4.2780000000000005,4.0,28.0,32.0,25.0,12.0,4.0,12.0,22.0,104.0,-90.0,2017
38,11700023,CHI,32212254820,28.0,81.0,5.1610000000000005,7.0,29.0,1.6669999999999998,8.0,19.0,3.083,4.0,35.0,39.0,21.0,8.0,10.0,17.0,28.0,71.0,-235.0,2017
39,11700023,DAL,32212254840,41.0,82.0,8.096,18.0,40.0,6.868,18.0,28.0,5.667,3.0,46.0,49.0,26.0,9.0,2.0,16.0,14.0,118.0,235.0,2017
40,11700024,GSW,28991029392,37.0,80.0,6.327,8.0,28.0,2.1,13.0,25.0,5.0,8.0,36.0,44.0,27.0,3.0,8.0,19.0,21.0,95.0,-80.0,2017
41,11700024,MIN,25769804000,37.0,88.0,4.431,12.0,27.0,5.0,25.0,29.0,7.556,15.0,32.0,47.0,26.0,6.0,1.0,14.0,17.0,111.0,80.0,2017
42,11700025,DAL,32212254840,30.0,91.0,3.875,12.0,41.0,2.743,17.0,25.0,4.988,16.0,39.0,55.0,9.0,5.0,3.0,16.0,19.0,89.0,-115.0,2017
43,11700025,ORL,30601642307,42.0,88.0,9.166,11.0,28.0,4.4510000000000005,17.0,25.0,5.157,9.0,40.0,49.0,23.0,6.0,7.0,11.0,17.0,112.0,115.0,2017
44,11700027,POR,28991029626,38.0,89.0,5.894,14.0,35.0,3.633,16.0,18.0,7.167,11.0,36.0,47.0,20.0,9.0,6.0,17.0,30.0,106.0,25.0,2017
45,11700027,TOR,32212255220,30.0,75.0,4.708,13.0,44.0,2.636,28.0,33.0,5.253,4.0,34.0,38.0,18.0,10.0,5.0,18.0,22.0,101.0,-25.0,2017
46,11700028,BKN,32212255020,42.0,93.0,6.17,10.0,29.0,3.243,13.0,16.0,3.8,15.0,45.0,60.0,22.0,8.0,2.0,23.0,25.0,107.0,95.0,2017
